idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
269,6fd77e234d.png,0,0,97.647,almost_correct,170,166,"H_{0}=\frac{1}{l_{0}}\sum_{i}\mathrm{Tr}(\dot{\bfx}^{i}\dot{\bfx}^{i})+\frac{1}{l_{0}^{5}}\sum_{i,j}\mathrm{Tr}([{\bfx}^{i},{\bfx}^{j}]^{\dagger}[{\bfx}^{i},{\bfx}^{j}]).","H_{0}=\frac{1}{l_{0}}\sum_{i}\mathrm{Tr}(\dot{\bfx}^{i}{\bfx}^{i})+\frac{1}{l_{0}^{5}}\sum_{i,j}\mathrm{Tr}([{\bfx}^{i},{\bfx}^{j}]^{\dagger}[{\bfx}^{i},{\bfx}^{j}]).","H_{0=\frac{1}{l_{0}\sum_{i}\mathrm{Tr}(\dot\bfx^{i}\dot\bfx^{i)+\frac{1}{l_0^{5}\sum_{i,j}\mathrm{Tr}([\bfx^{i,\bfx^{j]^{\dagger}[\bfx^{i,\bfx^{j]).","H_{0=\frac{1}{l_{0}\sum_{i}\mathrm{Tr}(\dot\bfx^{i}\bfx^{i)+\frac{1}{l_0^{5}\sum_{i,j}\mathrm{Tr}([\bfx^{i,\bfx^{j]^{\dagger}[\bfx^{i,\bfx^{j])."
270,2133376982.png,1,1,100.0,exact,57,57,"\Phi\left(g_{1},g_{2}\right)=\Phi\left(g_{2},g_{1}\right)","\Phi\left(g_{1},g_{2}\right)=\Phi\left(g_{2},g_{1}\right)","\Phi(g_{1,g_{2)=\Phi(g_{2,g_{1)","\Phi(g_{1,g_{2)=\Phi(g_{2,g_{1)"
271,4ac37c1816.png,0,0,87.879,semantic_or_token_error,99,91,"\rho(t)\sim(1+3\lambda(t-t_{0}))\rho,\hspace{0.3in}\omega^{2}(t)\sim(1+4\lambda(t-t_{0}))\omega^{2}","\rho(t)\sim(1+3\lambda(t-t_{0}))\rho,\qquad\omega^{2}(t)\sim(1+4\lambda(t-t_{0}))\omega^{2}","\rho(t)\sim(1+3\lambda(t-t_{0))\rho,\hspace{0.3in}\omega^{2}(t)\sim(1+4\lambda(t-t_{0))\omega^{2}","\rho(t)\sim(1+3\lambda(t-t_{0))\rho,\omega^{2}(t)\sim(1+4\lambda(t-t_{0))\omega^{2}"
272,3a4caa5758.png,1,1,100.0,exact,33,33,X=d\alpha+\delta\frac{1}{\Delta}M,X=d\alpha+\delta\frac{1}{\Delta}M,X=d\alpha+\delta\frac{1}{\Delta}M,X=d\alpha+\delta\frac{1}{\Delta}M
273,d9f38b68fe.png,0,0,82.278,semantic_or_token_error,79,71,"[E_{0},H_{1}]=-2E_{1}\;,\;\;[F_{0},H_{1}]=2F_{1}\;,\;\;[H_{0},F_{1}]=-2F_{1}\;,","[E_{0},H_{1}]=-2E_{1}~,~~[F_{0},H_{1}]=2F_{1}~,~[H_{0},F_{1}]=-2F_{1}~,","[E_{0,H_{1]=-2E_{1,[F_{0,H_{1]=2F_{1,[H_{0,F_{1]=-2F_{1,","[E_{0,H_{1]=-2E_{1}~,~~[F_{0,H_{1]=2F_{1}~,~[H_{0,F_{1]=-2F_{1}~,"
274,1dc692e3f4.png,0,0,88.889,semantic_or_token_error,108,99,Z(\tau)~=~Tr~e^{2\piiH\tau}~=~Tr~exp\left[2\pii\tau\left(\frac{(p^{i})^{2}}{2}~+~{\calN}~-~a\right)~\right].,Z(\tau)=Tre^{2\piiH\tau}=Trexp\left[2\pii\tau\left(\frac{(p^{i})^{2}}{2}+{\calN}-a\right)\;\right].,Z(\tau)~=~Tr~e^{2\piiH\tau}~=~Tr~exp[2\pii\tau(\frac{(p^{i)^{2}{2}~+~{\calN}~-~a)~].,Z(\tau)=Tre^{2\piiH\tau=Trexp[2\pii\tau(\frac{(p^{i)^{2}{2+{\calN-a)].
275,79483b74fb.png,0,1,89.691,canonical_equivalent,87,97,"\psi=\pi_{t}+H_{0}(q,p,t)\approx0,\phi_{\alpha}(q,p,t)\approx0,\psi_{A}(q,p,t)\approx0.","\psi=\pi_{t}+H_{0}(q,p,t)\approx0,\quad\phi_{\alpha}(q,p,t)\approx0,\quad\psi_{A}(q,p,t)\approx0.","\psi=\pi_{t+H_{0}(q,p,t)\approx0,\phi_{\alpha}(q,p,t)\approx0,\psi_{A}(q,p,t)\approx0.","\psi=\pi_{t+H_{0}(q,p,t)\approx0,\phi_{\alpha}(q,p,t)\approx0,\psi_{A}(q,p,t)\approx0."
276,a38b4f658b.png,1,1,100.0,exact,42,42,ch_{M\beta}=\sum_{K}c_{\xiM}^{K}h_{K\beta},ch_{M\beta}=\sum_{K}c_{\xiM}^{K}h_{K\beta},ch_{M\beta=\sum_{K}c_\xiM^{K}h_{K\beta},ch_{M\beta=\sum_{K}c_\xiM^{K}h_{K\beta}
277,4503b3912e.png,1,1,100.0,exact,40,40,\gamma_{\varphi}=-\frac{N}{8\pi}g^{2}<0.,\gamma_{\varphi}=-\frac{N}{8\pi}g^{2}<0.,\gamma_{\varphi=-\frac{N}{8\pi}g^{2}<0.,\gamma_{\varphi=-\frac{N}{8\pi}g^{2}<0.
278,f4d6e41e2e.png,1,1,100.0,exact,64,64,"\phi_{2}(\omega,\vec{k},r)\approxr^{-\Delta_{+}}C(\omega,\vec{x}","\phi_{2}(\omega,\vec{k},r)\approxr^{-\Delta_{+}}C(\omega,\vec{x}","\phi_{2}(\omega,\vec{k,r)\approxr^{-\Delta_{+}C(\omega,\vec{x}","\phi_{2}(\omega,\vec{k,r)\approxr^{-\Delta_{+}C(\omega,\vec{x}"
279,695fce816e.png,1,1,100.0,exact,30,30,"\{P_{1},P_{2}\}=4\pi\kappa\muN","\{P_{1},P_{2}\}=4\pi\kappa\muN","\{P_{1,P_{2}\=4\pi\kappa\muN","\{P_{1,P_{2}\=4\pi\kappa\muN"
280,419b599b65.png,0,0,95.122,almost_correct,41,39,Z~=~\int{\calD}g{\calD}\phie^{-S_{\beta}},Z=\int{\calD}g{\calD}\phie^{-S_{\beta}},Z~=~\int{\calD}g{\calD}\phie^{-S_{\beta},Z=\int{\calD}g{\calD}\phie^{-S_{\beta}
281,4058e0f47f.png,0,0,98.718,almost_correct,78,78,\omega_{before}\rightarrow\omega_{after}=\sum_{i}\lambda_{i}\omega_{after}^{i},\omega_{bcfore}\rightarrow\omega_{after}=\sum_{i}\lambda_{i}\omega_{after}^{i},\omega_{before}arrow\omega_{after=\sum_{i}\lambda_{i}\omega_{after^{i},\omega_{bcfore}arrow\omega_{after=\sum_{i}\lambda_{i}\omega_{after^{i}
282,3dc4d3ecb3.png,0,1,95.238,canonical_equivalent,84,80,"\psi_{0}=p\star\psi\starp,\quadt=q\star\psi\starp,\quad\bar{t}=p\star\psi\starq\,\,.","\psi_{0}=p\star\psi\starp,\quadt=q\star\psi\starp,\quad\bar{t}=p\star\psi\starq.","\psi_{0=p\star\psi\starp,t=q\star\psi\starp,\bar{t=p\star\psi\starq.","\psi_{0=p\star\psi\starp,t=q\star\psi\starp,\bar{t=p\star\psi\starq."
283,7b08f115b4.png,0,0,92.093,semantic_or_token_error,215,206,{{\calH}}_{\mathrm{coll}}=\frac{1}{2}{\calI}^{\alpha\beta}I_{\alpha}I_{\beta}-{\calI}^{\alpha\beta}I_{\alpha}\overline{{J_{\beta}^{(2)}}}+\frac{1}{2}{\calI}^{\alpha\beta}\overline{{J_{\alpha}^{(2)}J_{\beta}^{(2)}}}.,{\calH}_{\mathrm{coll}}={\frac{1}{2}}{\calI}^{\alpha\beta}I_{\alpha}I_{\beta}-{\calI}^{\alpha\beta}I_{\alpha}\overline{{J_{\beta}^{(2)}}}+{\frac{1}{2}}{\calI}^{\alpha\beta}{J_{\alpha}^{(2)}J_{\beta}^{(2)}}.,{\calH_\mathrm{coll=\frac{1}{2}\calI^{\alpha\beta}I_{\alpha}I_{\beta-\calI^{\alpha\beta}I_{\alpha}\overline{{J_\beta^{(2)+\frac{1}{2}\calI^{\alpha\beta}\overline{{J_\alpha^{(2)}J_\beta^{(2)}.,\calH_\mathrm{coll=\frac{1}{2}\calI^{\alpha\beta}I_{\alpha}I_{\beta-\calI^{\alpha\beta}I_{\alpha}\overline{{J_\beta^{(2)+\frac{1}{2}\calI^{\alpha\beta}{J_\alpha^{(2)}J_\beta^{(2)}.
284,e4b3e175df.png,0,1,93.243,canonical_equivalent,211,222,"\Omega=2\,\operatorname{sin}^{-1}\left\{{\frac{(\operatorname{sin}\theta)\operatorname{sinh}^{2}(\eta/2)}{\sqrt{\operatorname{cosh}^{2}\eta-\operatorname{sinh}^{2}\eta\operatorname{sin}^{2}(\theta/2)}}}\right\}.","\Omega=2\,\operatorname{sin}^{-1}\left\{\frac{\left(\operatorname{sin}\theta\right)\operatorname{sinh}^{2}(\eta/2)}{\sqrt{\operatorname{cosh}^{2}\eta-\operatorname{sinh}^{2}\eta\operatorname{sin}^{2}(\theta/2)}}\right\}\,.",\Omega=2\operatorname{sin^{-1}\\frac{(\operatorname{sin}\theta)\operatorname{sinh^{2}(\eta/2)}\sqrt\operatorname{cosh^{2}\eta-\operatorname{sinh^{2}\eta\operatorname{sin^{2}(\theta/2)}\}.,\Omega=2\operatorname{sin^{-1}\\frac{(\operatorname{sin}\theta)\operatorname{sinh^{2}(\eta/2)}\sqrt\operatorname{cosh^{2}\eta-\operatorname{sinh^{2}\eta\operatorname{sin^{2}(\theta/2)}\}.
285,69af822f9e.png,1,1,100.0,exact,42,42,"A(x,y)\;=\;\sum_{j=g}^{\infty}A^{[j]}(x,y)","A(x,y)\;=\;\sum_{j=g}^{\infty}A^{[j]}(x,y)","A(x,y)=\sum_{j=g^{\infty}A^{[j]}(x,y)","A(x,y)=\sum_{j=g^{\infty}A^{[j]}(x,y)"
286,2dea0e824a.png,0,1,94.186,canonical_equivalent,86,81,"\epsilon_{0}=\operatorname{cos}\pia_{0}\quad\epsilon_{1}=\operatorname{cos}\pia_{1}\,.","\epsilon_{0}=\operatorname{cos}\pia_{0}\epsilon_{1}=\operatorname{cos}\pia_{1}\,.",\epsilon_{0=\operatorname{cos}\pia_{0}\epsilon_{1=\operatorname{cos}\pia_{1}.,\epsilon_{0=\operatorname{cos}\pia_{0}\epsilon_{1=\operatorname{cos}\pia_{1}.
287,50f13e5862.png,1,1,100.0,exact,63,63,"\sum_{n}f(n)=\sum_{p}\int_{-\infty}^{\infty}dxf(x)e^{-2\piipx},","\sum_{n}f(n)=\sum_{p}\int_{-\infty}^{\infty}dxf(x)e^{-2\piipx},","\sum_{n}f(n)=\sum_{p}\int_{-\infty^{\infty}dxf(x)e^{-2\piipx,","\sum_{n}f(n)=\sum_{p}\int_{-\infty^{\infty}dxf(x)e^{-2\piipx,"
288,152be682b7.png,1,1,100.0,exact,52,52,"\Psi_{e}(x)=\frac{1}{\sqrt{S^{\prime}(x)}}U(S(x))\,.","\Psi_{e}(x)=\frac{1}{\sqrt{S^{\prime}(x)}}U(S(x))\,.",\Psi_{e}(x)=\frac{1}\sqrt{S^{\prime}(x)}U(S(x)).,\Psi_{e}(x)=\frac{1}\sqrt{S^{\prime}(x)}U(S(x)).
289,23c88bad51.png,0,0,71.605,semantic_or_token_error,75,81,"\lbrack\frack2Q_{v}(n),\frack2Q_{v}(m)]=-\frack2Q_{v}([n,m])+{\frack{4\pi}}","[\frac{k}{2}Q_{v}(n),\frac{k}{2}Q_{v}(m)]=-\frac{k}{2}Q_{v}([n,m])+\frac{k}{4\pi}","\lbrack\frack2Q_{v}(n),\frack2Q_{v}(m)]=-\frack2Q_{v}([n,m])+\frack{4\pi}","[\frac{k}{2}Q_{v}(n),\frac{k}{2}Q_{v}(m)]=-\frac{k}{2}Q_{v}([n,m])+\frac{k}{4\pi}"
290,76718340d4.png,1,1,100.0,exact,54,54,R_{abcd}={\calK}\left(g_{ac}g_{bd}-g_{ad}g_{bc}\right),R_{abcd}={\calK}\left(g_{ac}g_{bd}-g_{ad}g_{bc}\right),R_{abcd={\calK}(g_{ac}g_{bd-g_{ad}g_{bc),R_{abcd={\calK}(g_{ac}g_{bd-g_{ad}g_{bc)
291,27e43fd719.png,1,1,100.0,exact,63,63,"O(\psi_{a},\psi_{b})=(L_{-1}^{a}+L_{0}^{a})\psi_{a}*\psi_{b}\,.","O(\psi_{a},\psi_{b})=(L_{-1}^{a}+L_{0}^{a})\psi_{a}*\psi_{b}\,.","O(\psi_{a,\psi_{b)=(L_{-1^{a+L_0^{a)\psi_{a}*\psi_{b}.","O(\psi_{a,\psi_{b)=(L_{-1^{a+L_0^{a)\psi_{a}*\psi_{b}."
292,68af912d5c.png,1,1,100.0,exact,50,50,x^{i}(fg)=(x^{i}f)g=(\tilde{\zeta}_{j}^{i}f)x^{j}g,x^{i}(fg)=(x^{i}f)g=(\tilde{\zeta}_{j}^{i}f)x^{j}g,x^{i}(fg)=(x^{i}f)g=(\tilde\zeta_j^{i}f)x^{j}g,x^{i}(fg)=(x^{i}f)g=(\tilde\zeta_j^{i}f)x^{j}g
293,7b871a732d.png,0,0,97.561,almost_correct,80,82,"\xi_{B}^{\prime}=\left(\frac{\sqrt3\,c^{3}}{128\hbarGr_{0}}\right)^{1/2}\xi_{B},","\xi_{B}^{\prime}=\left(\frac{\sqrt{3}\,c^{3}}{128\hbarGr_{0}}\right)^{1/2}\xi_{B},","\xi_B^{\prime=(\frac\sqrt3c^{3}{128\hbarGr_{0)^{1/2}\xi_{B,","\xi_B^{\prime=(\frac\sqrt{3}c^{3}{128\hbarGr_{0)^{1/2}\xi_{B,"
294,1cc91114f2.png,0,0,98.077,almost_correct,156,153,"\Omega=1-e^{4aL\mu}\left[\frac{(\mu+\nu)^{2}-\lambda^{2}}{(\mu-\nu)^{2}-\lambda^{2}}\right]\frac{B^{2}(2\mu,-\mu-\nu+\lambda)}{B^{2}(-2\mu,\mu-\nu-\lambda)}","\Omega=1-e^{4aL}\left[\frac{(\mu+\nu)^{2}-\lambda^{2}}{(\mu-\nu)^{2}-\lambda^{2}}\right]\frac{B^{2}(2\mu,-\mu-\nu+\lambda)}{B^{2}(-2\mu,\mu-\nu-\lambda)}","\Omega=1-e^{4aL\mu}[\frac{(\mu+\nu)^{2-\lambda^{2}{(\mu-\nu)^{2-\lambda^{2]\frac{B^{2}(2\mu,-\mu-\nu+\lambda)}{B^{2}(-2\mu,\mu-\nu-\lambda)}","\Omega=1-e^{4aL}[\frac{(\mu+\nu)^{2-\lambda^{2}{(\mu-\nu)^{2-\lambda^{2]\frac{B^{2}(2\mu,-\mu-\nu+\lambda)}{B^{2}(-2\mu,\mu-\nu-\lambda)}"
295,68b49e1b4a.png,1,1,100.0,exact,64,64,"ds^{2}=-N^{2}dt^{2}+g_{yy}dy^{2}+r^{2}\left(y\right)d\Omega^{2},","ds^{2}=-N^{2}dt^{2}+g_{yy}dy^{2}+r^{2}\left(y\right)d\Omega^{2},","ds^{2=-N^{2}dt^{2+g_{yy}dy^{2+r^{2}(y)d\Omega^{2,","ds^{2=-N^{2}dt^{2+g_{yy}dy^{2+r^{2}(y)d\Omega^{2,"
296,b07bfd5f28.png,1,1,100.0,exact,54,54,\psi(1+z)=-\gamma+z\sum_{n=1}^{\infty}\frac{1}{n(z+n)},\psi(1+z)=-\gamma+z\sum_{n=1}^{\infty}\frac{1}{n(z+n)},\psi(1+z)=-\gamma+z\sum_{n=1^{\infty}\frac{1}{n(z+n)},\psi(1+z)=-\gamma+z\sum_{n=1^{\infty}\frac{1}{n(z+n)}
297,59a7eeae33.png,0,0,97.701,almost_correct,174,174,"\Gamma_{L}^{~~K}\left[-\frac{1}{2}\partial_{K}F_{L}+\sum_{R}\frac{h_{R}}{2}\left\{\Delta_{RL}-\frac{1}{3}\right\}\partial_{K}C_{R}\frac{\Gamma(R)}{2}\right]\varepsilon_{0}=0,","\Gamma_{L}{}^{K}\left[-\frac{1}{2}\partial_{K}F_{L}+\sum_{R}\frac{h_{R}}{2}\left\{\Delta_{RL}-\frac{1}{3}\right\}\partial_{K}C_{R}\frac{\Gamma(R)}{2}\right]\varepsilon_{0}=0,","\Gamma_L^{~~K}[-\frac{1}{2}\partial_{K}F_{L+\sum_{R}\frac{h_{R}{2}\{\Delta_{RL-\frac{1}{3}\}\partial_{K}C_{R}\frac{\Gamma(R)}{2]\varepsilon_{0=0,","\Gamma_{L}{^{K}[-\frac{1}{2}\partial_{K}F_{L+\sum_{R}\frac{h_{R}{2}\{\Delta_{RL-\frac{1}{3}\}\partial_{K}C_{R}\frac{\Gamma(R)}{2]\varepsilon_{0=0,"
298,3ddf248dd3.png,0,0,92.126,semantic_or_token_error,121,127,"U_{(x_{1},x_{2})}\rightarrow\,Gamma_{1}^{x_{1}}\Gamma_{2}^{x_{2}}U(\Gamma_{2}^{\dag})^{x_{2}}(\Gamma_{1}^{\dag})^{x_{1}},","U_{(x_{1},x_{2})}\;\rightarrowGamma_{1}^{x_{1}}\Gamma_{2}^{x_{2}}U(\Gamma_{2}^{\dagger})^{x_{2}}(\Gamma_{1}^{\dagger})^{x_{1}},","U_{(x_{1,x_{2)}arrowGamma_1^{x_{1}\Gamma_2^{x_{2}U(\Gamma_2^{\dag)^{x_{2}(\Gamma_1^{\dag)^{x_{1,","U_{(x_{1,x_{2)}arrowGamma_1^{x_{1}\Gamma_2^{x_{2}U(\Gamma_2^{\dagger)^{x_{2}(\Gamma_1^{\dagger)^{x_{1,"
299,5f46ab2bad.png,1,1,100.0,exact,31,31,"[P_{l},J]=-i\epsilon_{ln}P_{n},","[P_{l},J]=-i\epsilon_{ln}P_{n},","[P_{l,J]=-i\epsilon_{ln}P_{n,","[P_{l,J]=-i\epsilon_{ln}P_{n,"
300,32bb708eb9.png,0,0,75.743,semantic_or_token_error,202,159,"\Re\left\{\frac{-\nu^{-s}}{\pi}\,e^{\displaystyle{-i\frac{\pi}{2}(s+1)}}\int_{-iz}^{\infty-iz}t^{-s}\,\displaystyle{\frac{d\left(\operatorname{ln}{I_{\nu}\left(\nu\,t\right)}\right)}{d\,t}}\,dt\right\}.","\Re\left\{\frac{-\nu^{-s}}{\pi}\,e^{-i\frac{\pi}{2}}(s+1)\int_{-iz}^{\infty-iz}\,t^{-s}\,\frac{d\left(\operatorname{ln}I_{\nu}(\nu\,t)\right)}{dt}\,dt\right\}.",\Re\\frac{-\nu^{-s}{\pi}e^{\displaystyle{-i\frac{\pi}{2}(s+1)}\int_{-iz^{\infty-iz}t^{-s}\displaystyle\frac{d(\operatorname{ln}{I_{\nu}(\nut))}{dt}dt\}.,\Re\\frac{-\nu^{-s}{\pi}e^{-i\frac{\pi}{2}(s+1)\int_{-iz^{\infty-iz}t^{-s}\frac{d(\operatorname{ln}I_{\nu}(\nut))}{dt}dt\}.
301,13938594a7.png,1,1,100.0,exact,168,168,e^{-2\rho}\simeq2(\Delta_{0}-\operatorname{log}2-\frac{2\mu^{2}}{\lambda^{2}})-\lambda^{2}(x^{+}+\frac{2\gamma_{+}}{\lambda^{2}})(x^{-}+\frac{2\gamma_{-}}{\lambda^{2}}),e^{-2\rho}\simeq2(\Delta_{0}-\operatorname{log}2-\frac{2\mu^{2}}{\lambda^{2}})-\lambda^{2}(x^{+}+\frac{2\gamma_{+}}{\lambda^{2}})(x^{-}+\frac{2\gamma_{-}}{\lambda^{2}}),e^{-2\rho}\simeq2(\Delta_{0-\operatorname{log}2-\frac{2\mu^{2}{\lambda^{2)-\lambda^{2}(x^{++\frac{2\gamma_{+}{\lambda^{2)(x^{-+\frac{2\gamma_{-}{\lambda^{2),e^{-2\rho}\simeq2(\Delta_{0-\operatorname{log}2-\frac{2\mu^{2}{\lambda^{2)-\lambda^{2}(x^{++\frac{2\gamma_{+}{\lambda^{2)(x^{-+\frac{2\gamma_{-}{\lambda^{2)
302,26ede6a5dc.png,0,1,87.705,canonical_equivalent,122,107,"\left\{Q_{\alphaA},Q_{\betaB}\right\}=P_{\mu}\left(C\gamma^{\mu}\right)_{\alpha\beta}\Omega_{AB}+C_{\alpha\beta}\,\,Z_{AB}","\{Q_{\alphaA},Q_{\betaB}\}=P_{\mu}\left(C\gamma^{\mu}\right)_{\alpha\beta}\Omega_{AB}+C_{\alpha\beta}Z_{AB}","\{Q_{\alphaA,Q_{\betaB}\=P_{\mu}(C\gamma^{\mu)_{\alpha\beta}\Omega_{AB+C_{\alpha\beta}Z_{AB}","\{Q_{\alphaA,Q_{\betaB}\=P_{\mu}(C\gamma^{\mu)_{\alpha\beta}\Omega_{AB+C_{\alpha\beta}Z_{AB}"
303,431e14e2b9.png,0,0,93.388,semantic_or_token_error,121,113,"H^{2}+{\frac{k}{a^{2}}}={\frac{2\kappa_{5}^{~2}}{9}}\left(\rho_{\phi}+\Delta\rho_{\phi}\right)+{\frac{1}{3}}E_{~0}^{0}\,.","H^{2}+\frac{k}{a^{2}}=\frac{2\kappa_{5}^{2}}{9}\left(\rho_{\phi}+\Delta\rho_{\phi}\right)+\frac{1}{3}E_{0}^{0}\,.",H^{2+\frac{k}{a^{2=\frac{2\kappa_5^{~2}{9}(\rho_{\phi+\Delta\rho_{\phi)+\frac{1}{3}E_{~0^{0}.,H^{2+\frac{k}{a^{2=\frac{2\kappa_5^{2}{9}(\rho_{\phi+\Delta\rho_{\phi)+\frac{1}{3}E_0^{0}.
304,379df39c0a.png,0,0,96.667,almost_correct,90,88,"\phi(\kappa,y)=\sqrt{8\pi\alpha^{5}m^{6}}\Bigl(\kappa^{2}+(1-2y)^{2}m^{2}+mE\Bigr)^{-2}\;,","\phi(\kappa,y)=\sqrt{8\pi\alpha^{5}m^{6}}\Big(\kappa^{2}+(1-2y)^{2}m^{2}+mE\Big)^{-2}\,,","\phi(\kappa,y)=\sqrt{8\pi\alpha^{5}m^{6}\Bigl(\kappa^{2+(1-2y)^{2}m^{2+mE\Bigr)^{-2,","\phi(\kappa,y)=\sqrt{8\pi\alpha^{5}m^{6}\Big(\kappa^{2+(1-2y)^{2}m^{2+mE\Big)^{-2,"
305,7e25cfe8e7.png,1,1,100.0,exact,49,49,"1=\alpha_{1}^{2}=\alpha_{2}^{2}=\alpha_{3}^{2}\,.","1=\alpha_{1}^{2}=\alpha_{2}^{2}=\alpha_{3}^{2}\,.",1=\alpha_1^{2=\alpha_2^{2=\alpha_3^{2}.,1=\alpha_1^{2=\alpha_2^{2=\alpha_3^{2}.
306,33aeae5faa.png,1,1,100.0,exact,175,175,"\left(\frac{1}{G_{4}(\mu)}-\frac{1}{G_{4}^{*}(g)}\right)=\left(\frac{g^{2}(\Lambda)}{g^{2}(\mu)}\right)^{2-cg^{2}}\left(\frac{1}{G_{4}(\Lambda)}-\frac{1}{G_{4}^{*}(g)}\right),","\left(\frac{1}{G_{4}(\mu)}-\frac{1}{G_{4}^{*}(g)}\right)=\left(\frac{g^{2}(\Lambda)}{g^{2}(\mu)}\right)^{2-cg^{2}}\left(\frac{1}{G_{4}(\Lambda)}-\frac{1}{G_{4}^{*}(g)}\right),","(\frac{1}{G_{4}(\mu)-\frac{1}{G_4^{*}(g))=(\frac{g^{2}(\Lambda)}{g^{2}(\mu))^{2-cg^{2}(\frac{1}{G_{4}(\Lambda)-\frac{1}{G_4^{*}(g)),","(\frac{1}{G_{4}(\mu)-\frac{1}{G_4^{*}(g))=(\frac{g^{2}(\Lambda)}{g^{2}(\mu))^{2-cg^{2}(\frac{1}{G_{4}(\Lambda)-\frac{1}{G_4^{*}(g)),"
307,39c0e64d0d.png,0,1,94.975,canonical_equivalent,199,189,{\frac{1}{g^{2}(q^{2})}}={\frac{R}{g_{5}^{2}}}+\lambda_{k}(k/2)+\lambda_{T}(2T)-{\frac{1}{48\pi^{2}}}\left[\operatorname{ln}\left({\frac{2+\nu}{2\nu}}\right)+\nu\operatorname{ln}{\frac{k}{T}}\right].,\frac{1}{g^{2}(q^{2})}=\frac{R}{g_{5}^{2}}+\lambda_{k}(k/2)+\lambda_{T}(2T)-\frac{1}{48\pi^{2}}\left[\operatorname{ln}\left(\frac{2+\nu}{2\nu}\right)+\nu\operatorname{ln}\frac{k}{T}\right].,\frac{1}{g^{2}(q^{2)=\frac{R}{g_5^{2+\lambda_{k}(k/2)+\lambda_{T}(2T)-\frac{1}{48\pi^{2}[\operatorname{ln}(\frac{2+\nu}{2\nu)+\nu\operatorname{ln}\frac{k}{T].,\frac{1}{g^{2}(q^{2)=\frac{R}{g_5^{2+\lambda_{k}(k/2)+\lambda_{T}(2T)-\frac{1}{48\pi^{2}[\operatorname{ln}(\frac{2+\nu}{2\nu)+\nu\operatorname{ln}\frac{k}{T].
308,1222b2a1d6.png,1,1,100.0,exact,115,115,L_{3}=\left(\begin{array}{llll}{0}&{-i}&{0}&{0}\{i}&{0}&{0}&{0}\{0}&{0}&{0}&{0}\{0}&{0}&{0}&{0}\\end{array}\right).,L_{3}=\left(\begin{array}{llll}{0}&{-i}&{0}&{0}\{i}&{0}&{0}&{0}\{0}&{0}&{0}&{0}\{0}&{0}&{0}&{0}\\end{array}\right).,L_{3=(\begin{array}{llll}{0}&{-i}&{0}&{0}\{i}&{0}&{0}&{0}\{0}&{0}&{0}&{0}\{0}&{0}&{0}&{0}\\end{array).,L_{3=(\begin{array}{llll}{0}&{-i}&{0}&{0}\{i}&{0}&{0}&{0}\{0}&{0}&{0}&{0}\{0}&{0}&{0}&{0}\\end{array).
309,6029ade37e.png,1,1,100.0,exact,49,49,"(x|y)=g_{\mu\nu}\xi^{\mu}\zeta^{\nu}=(\xi|\zeta),","(x|y)=g_{\mu\nu}\xi^{\mu}\zeta^{\nu}=(\xi|\zeta),","(x|y)=g_{\mu\nu}\xi^{\mu}\zeta^{\nu=(\xi|\zeta),","(x|y)=g_{\mu\nu}\xi^{\mu}\zeta^{\nu=(\xi|\zeta),"
310,334a03f56d.png,1,1,100.0,exact,66,66,"\sigma(\omega,\omega^{\prime})=\rho(\omega)-\rho(\omega^{\prime}).","\sigma(\omega,\omega^{\prime})=\rho(\omega)-\rho(\omega^{\prime}).","\sigma(\omega,\omega^{\prime)=\rho(\omega)-\rho(\omega^{\prime).","\sigma(\omega,\omega^{\prime)=\rho(\omega)-\rho(\omega^{\prime)."
311,7095f1ad15.png,0,0,91.453,semantic_or_token_error,111,117,\deltaN={\frac{u}{2}}\;\ell_{r}\;\mathrm{sin}^{2}\theta_{r}\;(\partial_{+}^{3}\xi^{+}+\partial_{-}^{3}\xi^{-}).,\deltaN={\frac{u}{2}}\;\ell_{r}\operatorname{sin}^{2}\theta_{r}\;(\partial_{+}^{3}\xi^{+}+\partial_{-}^{3}\xi^{-})\;.,\deltaN=\frac{u}{2}\ell_{r}\mathrm{sin^{2}\theta_{r}(\partial_{+^{3}\xi^{++\partial_{-^{3}\xi^{-).,\deltaN=\frac{u}{2}\ell_{r}\operatorname{sin^{2}\theta_{r}(\partial_{+^{3}\xi^{++\partial_{-^{3}\xi^{-).
312,6505300ec2.png,1,1,100.0,exact,77,77,-\frac{1}{r^{3}}\frac{d}{dr}\left(r^{3}\frac{dh}{dr}\right)+(\rho\mu)^{2}h=0.,-\frac{1}{r^{3}}\frac{d}{dr}\left(r^{3}\frac{dh}{dr}\right)+(\rho\mu)^{2}h=0.,-\frac{1}{r^{3}\frac{d}{dr}(r^{3}\frac{dh}{dr)+(\rho\mu)^{2}h=0.,-\frac{1}{r^{3}\frac{d}{dr}(r^{3}\frac{dh}{dr)+(\rho\mu)^{2}h=0.
